"","date","week","visits","pageviews"
"1",2014-09-29,"40",0,0
"2",2014-09-30,"40",54,241
"3",2014-10-01,"40",48,202
"4",2014-10-02,"40",39,167
"5",2014-10-03,"40",13,194
"6",2014-10-04,"40",9,32
"7",2014-10-05,"41",22,197
"8",2014-10-06,"41",19,77
"9",2014-10-07,"41",57,229
"10",2014-10-08,"41",59,397
"11",2014-10-09,"41",18,66
"12",2014-10-10,"41",20,52
"13",2014-10-11,"41",7,20
"14",2014-10-12,"42",6,61
"15",2014-10-13,"42",16,47
"16",2014-10-14,"42",33,125
"17",2014-10-15,"42",33,315
"18",2014-10-16,"42",7,18
"19",2014-10-17,"42",4,8
"20",2014-10-18,"42",8,18
"21",2014-10-19,"43",20,105
"22",2014-10-20,"43",18,60
"23",2014-10-21,"43",26,124
"24",2014-10-22,"43",35,237
"25",2014-10-23,"43",16,71
"26",2014-10-24,"43",21,55
"27",2014-10-25,"43",8,27
"28",2014-10-26,"44",14,33
"29",2014-10-27,"44",16,60
"30",2014-10-28,"44",43,284
"31",2014-10-29,"44",47,204
"32",2014-10-30,"44",21,54
"33",2014-10-31,"44",18,54
"34",2014-11-01,"44",26,168
"35",2014-11-02,"45",20,86
"36",2014-11-03,"45",18,94
"37",2014-11-04,"45",18,63
"38",2014-11-05,"45",79,337
"39",2014-11-06,"45",45,186
"40",2014-11-07,"45",13,48
"41",2014-11-08,"45",29,243
"42",2014-11-09,"46",16,102
"43",2014-11-10,"46",32,123
"44",2014-11-11,"46",77,355
"45",2014-11-12,"46",36,466
"46",2014-11-13,"46",56,216
"47",2014-11-14,"46",90,436
"48",2014-11-15,"46",16,76
"49",2014-11-16,"47",15,51
"50",2014-11-17,"47",27,112
"51",2014-11-18,"47",51,184
"52",2014-11-19,"47",23,190
"53",2014-11-20,"47",15,55
"54",2014-11-21,"47",12,48
"55",2014-11-22,"47",11,22
"56",2014-11-23,"48",11,38
"57",2014-11-24,"48",22,67
"58",2014-11-25,"48",41,205
"59",2014-11-26,"48",44,252
"60",2014-11-27,"48",18,51
"61",2014-11-28,"48",12,38
"62",2014-11-29,"48",9,29
"63",2014-11-30,"49",8,36
"64",2014-12-01,"49",17,41
"65",2014-12-02,"49",52,235
"66",2014-12-03,"49",36,269
"67",2014-12-04,"49",28,79
"68",2014-12-05,"49",19,57
"69",2014-12-06,"49",24,93
"70",2014-12-07,"50",15,47
"71",2014-12-08,"50",19,94
"72",2014-12-09,"50",34,163
"73",2014-12-10,"50",30,111
"74",2014-12-11,"50",12,33
"75",2014-12-12,"50",20,43
"76",2014-12-13,"50",5,18
"77",2014-12-14,"51",8,84
"78",2014-12-15,"51",16,61
"79",2014-12-16,"51",28,95
"80",2014-12-17,"51",31,109
"81",2014-12-18,"51",28,37
"82",2014-12-19,"51",20,51
