"주택유형","지역","주택규모","2012. 01","2012. 02","2012. 03","2012. 04","2012. 05","2012. 06","2012. 07","2012. 08","2012. 09","2012. 10","2012. 11","2012. 12","2013. 01","2013. 02","2013. 03","2013. 04","2013. 05","2013. 06","2013. 07","2013. 08","2013. 09","2013. 10","2013. 11","2013. 12","2014. 01","2014. 02","2014. 03","2014. 04","2014. 05","2014. 06","2014. 07","2014. 08","2014. 09","2014. 10","2014. 11","2014. 12","2015. 01","2015. 02","2015. 03","2015. 04","2015. 05"
"아파트","전국","규모1","97.9","98.1","98.4","98.6","98.7","98.8","98.6","98.7","99.1","99.6","100.0","100.3","100.6","100.9","101.3","102.0","102.4","102.7","103.1","103.6","104.3","105.4","106.1","106.7","107.5","108.2","108.8","109.0","109.1","109.3","109.5","109.8","110.2","110.7","111.1","111.5","111.9","112.3","113.1","114.1","114.8"
"아파트","전국","규모2","98.9","99.0","99.2","99.2","99.3","99.2","99.0","98.8","99.2","99.6","100.0","100.3","100.6","100.9","101.4","102.2","102.7","103.0","103.5","104.2","104.9","106.0","106.9","107.6","108.6","109.5","110.3","110.5","110.6","110.9","111.1","111.4","112.0","112.5","113.1","113.5","113.9","114.5","115.2","116.2","117.0"
"아파트","전국","규모3","100.2","100.1","100.1","100.0","100.0","100.0","99.6","99.3","99.5","99.8","100.0","100.2","100.5","100.8","101.3","101.8","102.1","102.3","102.7","103.6","104.5","105.6","106.5","107.3","108.2","109.4","110.5","110.8","110.8","111.1","111.5","111.9","112.6","113.3","113.9","114.5","115.1","115.9","116.7","117.8","118.8"
"아파트","전국","규모4","100.7","100.6","100.6","100.4","100.2","99.9","99.6","99.4","99.4","99.7","100.0","100.3","100.5","100.6","100.9","101.5","101.8","102.1","102.6","103.2","104.0","104.9","105.6","106.3","107.5","108.3","109.2","109.6","109.7","110.0","110.2","110.5","111.1","111.7","112.2","112.7","113.2","113.8","114.7","115.8","116.7"
"아파트","전국","규모5","102.0","101.8","101.3","101.0","100.8","100.5","100.0","99.7","99.6","99.8","100.0","100.0","100.2","100.2","100.5","101.0","101.2","101.4","101.8","102.3","103.0","103.6","104.0","104.3","105.1","105.8","106.7","106.8","106.8","107.0","107.3","107.6","108.0","108.6","109.0","109.5","109.9","110.5","111.4","112.5","113.1"
"아파트","수도권","규모1","99.1","99.3","99.2","99.2","99.0","98.9","98.6","98.4","99.0","99.6","100.0","100.1","100.3","100.6","101.1","101.7","102.1","102.3","102.6","103.5","104.7","106.2","107.2","107.9","109.1","110.0","110.9","111.1","111.2","111.2","111.6","111.9","112.7","113.3","113.9","114.4","114.9","115.6","116.7","118.3","119.5"
"아파트","수도권","규모2","99.9","100.0","100.0","99.7","99.4","99.2","98.8","98.6","99.0","99.6","100.0","100.1","100.4","100.8","101.4","102.2","102.6","103.0","103.5","104.5","105.6","107.3","108.5","109.5","110.9","112.2","113.5","113.8","113.8","114.0","114.4","114.9","115.8","116.6","117.3","117.9","118.5","119.4","120.4","122.0","123.1"
"아파트","수도권","규모3","100.2","100.1","100.1","99.8","99.9","99.8","99.4","99.2","99.5","99.8","100.0","100.1","100.4","100.7","101.2","101.6","101.8","102.1","102.6","103.5","104.7","106.2","107.3","108.3","109.3","110.8","112.3","112.7","112.6","113.0","113.6","114.2","115.2","116.1","116.9","117.7","118.4","119.5","120.6","121.9","123.2"
"아파트","수도권","규모4","101.4","101.3","101.2","100.8","100.6","100.1","99.6","99.2","99.3","99.7","100.0","100.2","100.3","100.4","100.8","101.4","101.7","101.9","102.5","103.4","104.5","105.7","106.6","107.4","108.9","110.1","111.4","111.8","111.9","112.1","112.5","112.8","113.6","114.4","115.0","115.6","116.2","117.0","118.1","119.5","120.6"
"아파트","수도권","규모5","102.4","102.3","101.8","101.4","101.0","100.6","100.1","99.7","99.5","99.7","100.0","100.0","100.2","100.3","100.6","101.4","101.5","101.6","102.1","103.0","104.0","104.9","105.4","105.8","106.6","107.5","108.8","108.8","108.8","109.0","109.4","109.8","110.2","110.8","111.1","111.5","112.2","113.0","114.1","115.4","116.0"
"아파트","지방","규모1","96.9","97.2","97.7","98.1","98.5","98.8","98.7","98.9","99.2","99.6","100.0","100.4","100.8","101.1","101.5","102.2","102.7","103.1","103.4","103.7","104.0","104.6","105.2","105.7","106.2","106.6","107.0","107.3","107.5","107.7","107.8","108.0","108.2","108.5","108.8","109.1","109.4","109.6","110.1","110.6","111.0"
"아파트","지방","규모2","97.9","98.1","98.4","98.8","99.1","99.2","99.1","99.1","99.3","99.6","100.0","100.4","100.7","101.0","101.4","102.2","102.7","103.1","103.5","103.9","104.2","104.8","105.3","105.7","106.3","106.8","107.1","107.4","107.6","107.8","107.9","108.1","108.3","108.7","109.0","109.3","109.6","109.8","110.2","110.9","111.2"
"아파트","지방","규모3","100.2","100.0","100.3","100.3","100.4","100.2","100.1","99.6","99.6","99.8","100.0","100.6","100.7","101.0","101.5","102.2","102.6","102.8","103.1","103.7","104.0","104.4","104.9","105.4","106.2","106.5","106.8","107.0","107.1","107.2","107.1","107.2","107.4","107.8","108.0","108.3","108.6","108.8","109.2","109.9","110.3"
"아파트","지방","규모4","99.8","99.7","99.7","99.7","99.8","99.7","99.7","99.5","99.6","99.8","100.0","100.4","100.6","100.8","101.1","101.6","102.0","102.4","102.7","103.0","103.2","103.8","104.3","104.9","105.6","106.0","106.4","106.6","106.8","107.0","107.1","107.3","107.7","108.1","108.5","108.9","109.3","109.7","110.2","111.0","111.5"
"아파트","지방","규모5","101.2","100.9","100.6","100.5","100.5","100.3","99.9","99.7","99.8","99.9","100.0","100.1","100.1","100.1","100.3","100.5","100.8","101.2","101.3","101.3","101.5","101.7","101.8","102.0","102.8","103.2","103.5","103.8","103.9","104.1","104.2","104.3","104.7","105.2","105.8","106.4","106.5","106.8","107.4","108.2","108.7"
"아파트","5대광역시","규모1","97.2","97.4","98.0","98.4","98.9","99.1","98.9","98.9","99.1","99.5","100.0","100.4","100.9","101.2","101.6","102.5","103.0","103.5","104.0","104.3","104.7","105.2","105.8","106.3","106.8","107.3","107.8","108.2","108.4","108.7","108.9","109.0","109.3","109.5","109.8","110.1","110.4","110.7","111.2","112.0","112.5"
"아파트","5대광역시","규모2","98.3","98.4","98.8","99.1","99.4","99.4","99.3","99.1","99.3","99.6","100.0","100.4","100.7","101.0","101.4","102.3","102.9","103.4","104.0","104.4","104.9","105.4","106.0","106.5","107.1","107.6","108.0","108.2","108.3","108.5","108.6","108.8","109.1","109.5","109.9","110.2","110.5","110.8","111.3","112.2","112.7"
"아파트","5대광역시","규모3","99.9","99.5","99.7","99.7","100.1","99.9","99.6","98.9","99.1","99.7","100.0","100.8","101.0","101.4","101.8","102.5","102.7","103.0","103.2","104.0","104.2","104.8","105.3","106.1","107.0","107.7","108.1","108.4","108.5","108.5","108.3","108.5","108.8","109.0","109.3","109.4","109.7","109.9","110.3","110.9","111.4"
"아파트","5대광역시","규모4","100.4","100.1","100.1","100.1","100.3","100.2","100.0","99.7","99.7","99.8","100.0","100.2","100.4","100.6","100.8","101.4","101.9","102.3","102.7","103.1","103.4","104.0","104.5","105.3","106.0","106.5","106.9","107.2","107.5","107.6","107.9","108.3","108.8","109.2","109.6","110.0","110.5","110.9","111.6","112.5","113.2"
"아파트","5대광역시","규모5","101.9","101.3","101.2","101.1","100.9","100.7","100.3","100.0","100.0","99.9","100.0","100.2","100.2","100.2","100.3","100.4","100.5","100.9","101.1","101.1","101.1","101.3","101.3","101.5","102.4","102.8","103.1","103.4","103.5","103.7","103.8","104.0","104.5","105.0","105.7","106.3","106.4","106.8","107.5","108.4","108.9"
"아파트","8개도","규모1","96.6","97.0","97.4","97.9","98.3","98.6","98.6","98.9","99.2","99.7","100.0","100.4","100.7","101.0","101.4","102.0","102.4","102.7","103.0","103.2","103.5","104.1","104.7","105.1","105.7","106.0","106.3","106.6","106.7","106.9","107.0","107.2","107.5","107.8","108.1","108.4","108.6","108.9","109.3","109.7","110.0"
"아파트","8개도","규모2","97.5","97.8","98.1","98.5","98.8","99.0","99.0","99.1","99.3","99.7","100.0","100.4","100.7","101.0","101.4","101.9","102.4","102.7","103.0","103.2","103.5","104.1","104.5","104.9","105.5","105.8","106.2","106.5","106.7","107.1","107.1","107.3","107.6","107.9","108.3","108.6","108.8","109.0","109.3","109.7","109.9"
"아파트","8개도","규모3","100.6","100.6","100.9","100.9","100.7","100.6","100.6","100.4","100.2","100.1","100.0","100.3","100.4","100.7","101.1","101.8","102.5","102.7","102.9","103.3","103.6","104.0","104.3","104.6","105.1","105.1","105.2","105.3","105.3","105.6","105.6","105.6","105.8","106.3","106.4","106.9","107.2","107.5","107.9","108.7","109.0"
"아파트","8개도","규모4","99.1","99.2","99.1","99.2","99.1","99.1","99.2","99.3","99.5","99.8","100.0","100.7","101.0","101.1","101.5","101.8","102.1","102.4","102.7","102.8","102.9","103.5","103.8","104.2","104.8","105.2","105.5","105.7","105.8","106.2","106.0","106.1","106.4","106.8","107.3","107.6","108.0","108.2","108.7","109.2","109.5"
"아파트","8개도","규모5","99.9","100.2","99.5","99.4","99.7","99.5","99.2","99.1","99.4","99.8","100.0","99.9","100.0","99.9","100.2","100.5","101.3","101.7","101.8","101.8","102.1","102.5","102.6","102.8","103.6","103.9","104.3","104.5","104.5","104.8","104.9","105.0","105.2","105.5","106.0","106.5","106.7","106.9","107.4","108.0","108.3"
"아파트","서울","규모1","99.2","99.2","99.2","98.9","98.4","98.1","97.7","97.6","98.4","99.4","100.0","100.1","100.4","100.9","101.6","101.9","102.0","102.0","102.6","103.5","104.7","106.3","107.2","107.7","109.0","109.7","110.4","110.6","110.6","110.5","110.7","111.0","111.4","112.0","112.5","112.8","113.1","113.7","114.7","116.2","117.4"
"아파트","서울","규모2","100.2","100.2","100.1","99.6","99.2","98.8","98.2","97.9","98.5","99.3","100.0","100.2","100.7","101.4","102.3","102.7","103.0","103.3","104.0","105.2","106.6","108.6","109.9","110.8","112.3","113.5","114.4","114.6","114.6","114.6","114.9","115.1","115.7","116.4","116.8","117.3","117.9","118.8","119.9","121.4","122.4"
"아파트","서울","규모3","98.9","99.1","99.1","98.6","98.6","98.9","98.2","98.0","98.6","99.1","100.0","100.3","100.9","101.5","102.0","101.5","101.5","101.5","102.5","103.6","105.0","106.5","107.5","108.3","109.6","110.7","111.4","111.3","111.2","111.3","111.6","111.7","112.3","112.8","113.1","113.5","114.4","115.5","116.3","117.8","118.6"
"아파트","서울","규모4","101.5","101.4","101.2","100.7","100.1","99.5","98.9","98.5","98.7","99.4","100.0","100.4","100.7","101.2","101.8","102.1","102.4","102.5","103.2","104.4","105.7","107.1","107.9","108.8","110.1","111.1","112.0","112.4","112.5","112.6","112.8","112.9","113.4","114.1","114.4","114.8","115.2","116.0","117.0","118.3","119.1"
"아파트","서울","규모5","101.7","101.6","101.3","100.8","100.5","100.0","99.5","99.1","99.1","99.4","100.0","100.1","100.4","100.7","101.0","101.5","101.5","101.8","102.5","103.9","105.1","106.5","107.1","107.6","108.4","108.9","109.5","109.5","109.6","109.7","110.0","110.2","110.5","110.9","111.1","111.4","111.9","112.7","113.7","114.9","115.5"
"아파트","경기","규모1","99.2","99.5","99.4","99.4","99.3","99.3","99.0","98.8","99.2","99.7","100.0","100.2","100.4","100.6","101.0","101.8","102.2","102.5","102.8","103.6","104.9","106.4","107.3","108.2","109.3","110.3","111.3","111.3","111.4","111.6","112.0","112.4","113.4","114.1","114.8","115.4","116.0","116.7","117.9","119.6","120.8"
"아파트","경기","규모2","100.1","100.3","100.3","100.1","99.8","99.6","99.3","99.1","99.4","99.7","100.0","100.1","100.3","100.4","100.9","101.9","102.4","102.8","103.2","104.0","105.0","106.4","107.5","108.4","109.9","111.2","112.5","112.8","112.9","113.1","113.6","114.2","115.3","116.2","117.1","117.9","118.5","119.5","120.5","122.1","123.4"
"아파트","경기","규모3","101.5","101.4","101.2","100.9","100.7","100.6","100.2","99.8","99.9","100.1","100.0","99.9","100.1","100.2","100.7","101.5","101.7","102.3","102.6","103.4","104.4","105.7","106.9","108.0","108.7","110.5","112.2","112.7","112.6","113.0","113.8","114.6","116.0","117.1","118.1","119.0","119.8","121.0","122.0","123.2","124.5"
"아파트","경기","규모4","101.6","101.6","101.6","101.3","101.1","100.7","100.2","99.8","99.7","99.9","100.0","100.0","100.0","99.9","100.0","100.9","101.1","101.5","101.9","102.5","103.6","104.6","105.4","106.1","107.6","109.0","110.6","111.0","111.2","111.3","111.9","112.4","113.3","114.2","115.0","115.8","116.5","117.4","118.6","120.1","121.2"
"아파트","경기","규모5","103.6","103.6","102.5","102.2","101.7","101.1","100.7","100.1","99.8","100.0","100.0","100.0","100.1","100.0","100.4","101.4","101.7","101.6","102.1","102.5","103.4","104.0","104.5","104.7","105.3","106.9","108.9","108.8","108.7","108.9","109.4","110.0","110.6","111.5","112.0","112.5","113.5","114.4","115.5","116.7","117.4"
"아파트","인천","규모1","98.6","98.6","98.6","98.8","98.9","99.0","99.0","99.1","99.5","99.7","100.0","100.0","99.9","100.0","100.6","101.1","101.5","101.9","102.1","102.9","103.8","105.5","106.7","107.5","108.8","109.6","111.0","111.2","111.6","111.6","111.9","112.2","112.8","113.3","113.9","114.4","114.9","115.5","116.4","118.0","119.0"
"아파트","인천","규모2","98.1","98.2","98.3","98.3","98.6","98.7","98.5","98.6","99.1","99.5","100.0","100.0","100.1","100.4","101.1","101.9","102.4","102.9","103.7","104.6","105.5","107.3","109.0","110.2","111.6","112.9","115.1","115.7","116.0","116.4","116.8","117.4","118.1","118.6","119.3","119.6","120.1","120.7","121.6","123.1","124.0"
"아파트","인천","규모3","96.8","96.8","97.2","97.5","98.6","98.6","98.9","99.0","99.7","99.9","100.0","100.3","100.6","100.9","101.8","102.3","102.7","102.5","102.7","103.8","105.2","107.5","108.7","110.2","111.0","112.5","114.8","115.9","116.1","117.1","117.8","118.3","118.5","119.7","120.8","121.3","121.6","122.4","124.4","125.8","128.2"
"아파트","인천","규모4","99.4","99.3","99.5","99.3","100.0","99.3","99.2","99.4","99.7","99.9","100.0","99.9","100.1","100.1","100.5","101.3","101.6","102.0","103.1","103.8","104.7","105.9","107.6","108.9","110.4","111.6","113.1","113.6","113.5","114.1","114.8","115.2","116.2","116.8","117.2","117.5","118.5","118.9","119.9","121.3","123.6"
"아파트","인천","규모5","99.6","99.7","100.1","100.1","100.5","101.4","101.2","101.1","100.9","100.5","100.0","99.7","99.7","99.8","100.2","100.5","100.2","100.1","100.0","100.5","100.7","101.1","101.3","101.7","103.0","103.5","104.4","104.3","104.8","105.3","105.6","105.8","105.9","106.4","106.6","106.7","106.8","107.1","108.7","110.5","111.4"
"아파트","부산","규모1","100.4","100.0","100.3","100.3","100.3","100.1","99.9","99.6","99.5","99.8","100.0","100.0","100.0","100.2","100.4","100.6","100.6","100.7","100.6","100.6","100.8","100.9","101.2","101.4","101.6","101.9","102.2","102.4","102.6","102.7","102.8","102.7","102.7","102.9","103.1","103.2","103.5","103.6","104.1","104.8","105.0"
"아파트","부산","규모2","100.4","100.2","100.3","100.4","100.5","100.4","100.3","100.0","99.9","100.0","100.0","100.0","100.0","100.3","100.4","100.7","100.9","101.0","101.0","101.2","101.5","101.8","102.2","102.3","102.5","102.8","103.1","103.3","103.5","103.7","103.9","104.1","104.3","104.7","104.9","105.1","105.3","105.5","105.9","106.4","106.8"
"아파트","부산","규모3","101.2","100.8","100.2","100.3","100.4","100.5","100.1","99.3","99.5","99.8","100.0","100.6","101.0","101.2","101.4","101.7","101.8","101.6","101.6","102.3","102.4","102.8","103.4","103.8","104.1","104.9","105.7","106.4","106.6","106.7","106.3","107.2","107.5","108.0","108.7","108.8","109.1","109.2","109.6","110.2","111.2"
"아파트","부산","규모4","102.2","101.7","101.5","101.2","101.1","100.9","100.6","100.2","100.0","100.0","100.0","100.1","100.0","100.2","100.6","100.6","100.5","100.3","100.1","100.1","100.2","100.7","100.8","101.0","101.3","101.8","102.1","102.5","102.8","102.8","103.0","103.6","103.9","104.1","104.4","104.7","104.9","105.2","105.7","106.3","106.8"
"아파트","부산","규모5","103.2","102.5","102.2","102.0","101.5","100.9","100.6","100.2","100.0","100.0","100.0","100.0","100.0","100.0","100.1","100.2","99.9","100.2","100.0","99.8","99.8","99.7","99.7","99.6","100.2","100.6","100.7","101.0","101.1","101.3","101.4","101.4","101.4","101.8","102.6","103.1","103.4","103.9","104.2","104.7","105.2"
